Round,Result,Coins Won/Lost,New Coin Count,Reward
1,Lose,-1000,166000,Lose Bet
2,Lose,-1000,165000,Lose Bet
3,Lose,-1000,164000,Lose Bet
4,Lose,-1000,163000,Lose Bet
5,Lose,-1000,162000,Lose Bet
6,Lose,-1000,161000,Lose Bet
7,Lose,-1000,160000,Lose Bet
8,Lose,-1000,159000,Lose Bet
9,Lose,-1000,158000,Lose Bet
10,Lose,-1000,157000,Lose Bet
11,Lose,-1000,156000,Lose Bet
12,Win,25000,181000,Tripple Seven
13,Lose,-1000,180000,Lose Bet
14,Win,6000,186000,Triple Bar
15,Lose,-1000,185000,Lose Bet
16,Lose,-1000,184000,Lose Bet
17,Lose,-1000,183000,Lose Bet
18,Lose,-1000,182000,Lose Bet
19,Lose,-1000,181000,Lose Bet
20,Lose,-1000,180000,Lose Bet
21,Lose,-1000,179000,Lose Bet
22,Lose,-1000,178000,Lose Bet
23,Lose,-1000,177000,Lose Bet
24,Lose,-1000,176000,Lose Bet
25,Lose,-1000,175000,Lose Bet
26,Lose,-1000,174000,Lose Bet
27,Lose,-1000,173000,Lose Bet
28,Lose,-1000,172000,Lose Bet
29,Lose,-1000,171000,Lose Bet
30,Lose,-1000,170000,Lose Bet
31,Lose,-1000,169000,Lose Bet
32,Lose,-1000,168000,Lose Bet
33,Lose,-1000,167000,Lose Bet
34,Lose,-1000,166000,Lose Bet
35,Lose,-1000,165000,Lose Bet
36,Lose,-1000,164000,Lose Bet
37,Lose,-1000,163000,Lose Bet
38,Lose,-1000,162000,Lose Bet
39,Lose,-1000,161000,Lose Bet
40,Lose,-1000,160000,Lose Bet
41,Lose,-1000,159000,Lose Bet
42,Win,1000,159000,Any Bar
43,Lose,-1000,158000,Lose Bet
44,Lose,-1000,157000,Lose Bet
45,Lose,-1000,156000,Lose Bet
46,Lose,-1000,155000,Lose Bet
47,Lose,-1000,154000,Lose Bet
48,Lose,-1000,153000,Lose Bet
49,Lose,-1000,152000,Lose Bet
50,Lose,-1000,151000,Lose Bet
51,Lose,-1000,150000,Lose Bet
52,Lose,-1000,149000,Lose Bet
53,Lose,-1000,148000,Lose Bet
54,Lose,-1000,147000,Lose Bet
55,Lose,-1000,146000,Lose Bet
56,Lose,-1000,145000,Lose Bet
57,Win,39000,184000,Free 10 rounds
58,Lose,-1000,183000,Lose Bet
59,Lose,-1000,182000,Lose Bet
60,Lose,-1000,181000,Lose Bet
61,Lose,-1000,180000,Lose Bet
62,Lose,-1000,179000,Lose Bet
63,Lose,-1000,178000,Lose Bet
64,Lose,-1000,177000,Lose Bet
65,Lose,-1000,176000,Lose Bet
66,Lose,-1000,175000,Lose Bet
67,Win,6000,181000,Triple Bar
68,Lose,-1000,180000,Lose Bet
69,Lose,-1000,179000,Lose Bet
70,Lose,-1000,178000,Lose Bet
71,Win,1000,178000,Any Bar
72,Lose,-1000,177000,Lose Bet
73,Lose,-1000,176000,Lose Bet
74,Lose,-1000,175000,Lose Bet
75,Lose,-1000,174000,Lose Bet
76,Lose,-1000,173000,Lose Bet
77,Lose,-1000,172000,Lose Bet
78,Lose,-1000,171000,Lose Bet
79,Lose,-1000,170000,Lose Bet
80,Win,78000,248000,Free 10 rounds
81,Lose,-1000,247000,Lose Bet
82,Lose,-1000,246000,Lose Bet
83,Lose,-1000,245000,Lose Bet
84,Lose,-1000,244000,Lose Bet
85,Lose,-1000,243000,Lose Bet
86,Lose,-1000,242000,Lose Bet
87,Lose,-1000,241000,Lose Bet
88,Win,4000,245000,Double Bar
89,Lose,-1000,244000,Lose Bet
90,Win,2000,246000,Single Bar
91,Lose,-1000,245000,Lose Bet
92,Lose,-1000,244000,Lose Bet
93,Lose,-1000,243000,Lose Bet
94,Lose,-1000,242000,Lose Bet
95,Win,1000,242000,Single Bar
96,Lose,-1000,241000,Lose Bet
97,Lose,-1000,240000,Lose Bet
98,Lose,-1000,239000,Lose Bet
99,Lose,-1000,238000,Lose Bet
100,Lose,-1000,237000,Lose Bet
