Round,Result,Coins Won/Lost,New Coin Count,Reward,,Initial Coin Amount
1,Lose,-1000,29000,Lose Bet,,30000
2,Win,1000,29000,Any Bar,,
3,Lose,-1000,28000,Lose Bet,,
4,Lose,-1000,27000,Lose Bet,,
5,Lose,-1000,26000,Lose Bet,,
6,Lose,-1000,25000,Lose Bet,,
7,Lose,-1000,24000,Lose Bet,,
8,Lose,-1000,23000,Lose Bet,,
9,Lose,-1000,22000,Lose Bet,,
10,Lose,-1000,21000,Lose Bet,,
11,Win,1000,21000,Any Bar,,
12,Lose,-1000,20000,Lose Bet,,
13,Lose,-1000,19000,Lose Bet,,
14,Win,1000,19000,Any Bar,,
15,Lose,-1000,18000,Lose Bet,,
16,Lose,-1000,17000,Lose Bet,,
17,Lose,-1000,16000,Lose Bet,,
18,Lose,-1000,15000,Lose Bet,,
19,Win,1000,15000,Any Bar,,
20,Lose,-1000,14000,Lose Bet,,
21,Lose,-1000,13000,Lose Bet,,
22,Lose,-1000,12000,Lose Bet,,
23,Lose,-1000,11000,Lose Bet,,
24,Win,1000,11000,Any Bar,,
25,Lose,-1000,10000,Lose Bet,,
26,Lose,-1000,9000,Lose Bet,,
27,Lose,-1000,8000,Lose Bet,,
28,Lose,-1000,7000,Lose Bet,,
29,Lose,-1000,6000,Lose Bet,,
30,Lose,-1000,5000,Lose Bet,,
31,Lose,-1000,4000,Lose Bet,,
32,Lose,-1000,3000,Lose Bet,,
33,Win,1000,4000,Any Bar,,
34,Lose,-1000,3000,Lose Bet,,
35,Win,1000,3000,Any Bar,,
36,Lose,-1000,2000,Lose Bet,,
37,Lose,-1000,1000,Lose Bet,,
38,Lose,-1000,0,Lose Bet,,
