STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,MONTH,DAY_WEEK,ROUTE,MAN_COLL,DRUNK_DR,FATALS
California,60001,1,1,0,0,January,Sunday,3,0,0,2
California,60002,2,2,0,0,January,Thrusday,3,2,0,2
California,60003,2,2,0,0,January,Thrusday,9,6,0,1
California,60005,3,3,0,0,January,Saturday,1,1,1,1
California,60006,1,1,0,0,January,Tuesday,9,0,0,1
California,60007,1,1,0,1,January,Thrusday,1,0,0,1
California,60008,1,1,0,0,January,Saturday,3,0,0,1
California,60009,2,2,0,0,January,Saturday,9,6,0,1
California,60010,2,2,0,0,January,Saturday,2,2,0,1
California,60011,1,1,0,1,January,Wednesday,9,0,0,1
California,60012,2,2,0,0,January,Wednesday,9,6,0,1
California,60013,2,2,0,0,January,Monday,3,2,1,1
California,60014,1,1,0,0,January,Saturday,1,0,1,1
California,60015,2,2,0,0,January,Sunday,9,6,2,1
California,60016,3,3,0,0,January,Thrusday,6,2,0,1
California,60017,2,2,0,0,January,Tuesday,2,6,0,1
California,60018,1,1,0,1,January,Monday,1,0,0,1
California,60019,1,1,0,0,January,Monday,3,0,0,1
California,60020,1,1,0,0,January,Monday,1,0,0,1
California,60021,1,1,0,1,January,Tuesday,1,0,0,1
California,60022,2,2,0,0,January,Friday,9,6,0,1
California,60023,1,1,0,0,January,Monday,9,0,0,1
California,60024,1,1,0,0,January,Thrusday,3,0,0,1
California,60025,3,3,0,0,January,Friday,3,2,0,1
California,60026,1,1,0,0,January,Sunday,1,0,1,1
California,60027,1,1,0,0,January,Thrusday,1,0,0,1
California,60028,2,2,0,1,January,Saturday,3,0,0,1
California,60029,2,2,0,0,January,Wednesday,3,2,0,1
California,60030,2,2,0,0,February,Thrusday,6,6,1,1
California,60031,1,1,0,0,January,Tuesday,1,0,1,1
California,60032,2,2,0,0,February,Sunday,6,2,0,2
California,60033,1,1,0,0,February,Saturday,6,0,1,1
California,60034,4,4,0,1,January,Monday,1,0,0,1
California,60035,1,1,0,0,January,Saturday,9,0,1,1
California,60036,2,2,0,0,January,Sunday,1,2,1,6
California,60037,1,1,0,1,January,Monday,1,0,0,1
California,60038,1,1,0,1,January,Friday,9,0,0,1
California,60039,1,1,0,0,January,Tuesday,9,0,0,1
California,60040,2,2,0,0,February,Saturday,3,6,0,2
California,60041,1,1,0,0,January,Tuesday,3,0,1,1
California,60042,1,1,0,0,January,Wednesday,9,0,1,2
California,60043,2,2,0,1,January,Monday,3,6,0,1
California,60044,1,1,0,0,January,Monday,9,0,1,1
California,60045,1,1,0,0,January,Monday,1,0,1,1
California,60046,2,2,0,0,January,Wednesday,3,2,0,1
California,60047,1,1,0,0,January,Friday,1,0,0,1
California,60048,1,1,0,0,January,Tuesday,9,0,0,1
California,60049,1,1,0,1,January,Thrusday,3,0,0,1
California,60050,2,2,0,0,January,Wednesday,9,0,0,1
California,60051,1,1,0,0,January,Saturday,1,0,1,2
California,60052,1,1,0,0,January,Monday,9,0,0,1
California,60053,1,1,0,0,January,Tuesday,9,0,0,1
California,60054,1,1,0,0,February,Thrusday,3,0,1,1
California,60055,3,3,0,0,January,Friday,3,2,0,1
California,60056,1,1,0,0,January,Wednesday,1,0,0,1
California,60057,3,3,0,0,January,Friday,3,8,0,1
California,60058,1,1,0,1,January,Saturday,1,0,0,1
California,60059,2,2,0,2,January,Monday,1,0,0,2
California,60060,3,3,0,0,January,Monday,1,6,1,1
California,60061,1,1,0,0,January,Tuesday,9,0,0,1
California,60062,1,1,0,0,January,Friday,3,0,0,1
California,60063,1,1,0,1,January,Monday,9,0,0,1
California,60064,1,1,0,0,January,Saturday,6,0,1,1
California,60065,1,1,0,0,January,Thrusday,1,0,1,1
California,60066,1,1,0,1,January,Saturday,9,0,0,1
California,60067,2,2,0,0,January,Tuesday,3,6,0,2
California,60068,1,1,0,1,January,Wednesday,3,0,0,1
California,60069,1,1,0,0,January,Saturday,2,0,1,1
California,60070,1,1,0,0,January,Tuesday,1,0,0,1
California,60071,1,1,0,0,January,Tuesday,1,0,0,1
California,60072,2,2,0,0,January,Thrusday,9,6,0,1
California,60073,1,1,0,0,January,Monday,1,0,0,1
California,60074,1,1,0,1,January,Friday,9,0,0,1
California,60075,1,1,0,1,February,Thrusday,9,0,0,1
California,60076,1,1,0,0,January,Wednesday,2,0,0,1
California,60077,2,2,0,0,February,Sunday,9,2,1,1
California,60078,1,1,0,0,February,Friday,6,0,0,1
California,60079,1,1,0,0,January,Wednesday,3,0,0,1
California,60080,1,1,0,0,January,Sunday,9,0,1,1
California,60081,2,2,0,0,January,Thrusday,3,2,0,1
California,60082,1,1,0,1,January,Thrusday,1,0,0,1
California,60083,1,1,0,0,January,Monday,9,0,0,1
California,60084,3,3,0,0,January,Wednesday,9,1,0,1
California,60085,1,1,0,0,January,Sunday,3,0,1,1
California,60086,1,1,0,0,January,Sunday,1,0,1,1
California,60087,2,2,0,0,January,Saturday,3,2,1,2
California,60088,2,2,0,0,January,Wednesday,3,6,0,1
California,60089,1,1,0,0,February,Monday,3,0,0,1
California,60090,1,1,0,0,February,Tuesday,9,0,0,1
California,60091,2,2,0,0,February,Thrusday,9,6,1,2
California,60092,1,1,0,1,February,Tuesday,3,0,0,1
California,60093,1,1,0,0,February,Thrusday,1,0,0,1
California,60094,2,2,0,0,January,Wednesday,1,1,0,1
California,60095,2,1,1,1,February,Monday,3,0,0,1
California,60096,1,1,0,1,January,Monday,1,0,0,1
California,60097,3,3,0,0,January,Sunday,1,1,0,1
California,60098,1,1,0,0,February,Saturday,6,0,1,1
California,60100,2,2,0,0,January,Wednesday,9,6,0,1
California,60101,3,3,0,0,February,Monday,3,2,1,3
California,60102,3,3,0,0,January,Saturday,3,8,1,1
California,60104,3,1,2,0,January,Monday,9,0,0,1
California,60105,3,2,1,0,January,Thrusday,3,2,0,1
California,60106,1,1,0,0,January,Wednesday,9,0,1,1
California,60107,1,1,0,1,January,Sunday,6,0,0,1
California,60108,1,1,0,1,January,Tuesday,9,0,0,1
California,60109,2,2,0,0,January,Monday,9,6,1,1
California,60110,1,1,0,0,January,Friday,3,0,1,1
California,60111,1,1,0,0,January,Tuesday,9,0,1,1
California,60112,1,1,0,1,January,Tuesday,1,0,0,1
California,60113,1,1,0,0,January,Tuesday,9,0,1,1
California,60114,2,2,0,0,January,Tuesday,9,2,0,1
California,60115,1,1,0,0,January,Saturday,3,0,0,1
California,60116,1,1,0,1,January,Saturday,9,0,0,1
